   text	   data	    bss	    dec	    hex	filename
   1748	      0	      0	   1748	    6d4	alarm.o
    424	      0	      0	    424	    1a8	arm.o
  10112	    320	      0	  10432	   28c0	cfg1_out.o
     52	      0	      0	     52	     34	chip_kernel_impl.o
   1877	      0	      4	   1881	    759	core_kernel_impl.o
   2172	      0	      0	   2172	    87c	core_support.o
   1808	      0	      0	   1808	    710	cyclic.o
   5439	      0	      0	   5439	   153f	dataqueue.o
   3357	      0	      0	   3357	    d1d	domain.o
   3595	      0	      0	   3595	    e0b	eventflag.o
    148	      0	      0	    148	     94	exception.o
    935	      0	      0	    935	    3a7	gic_kernel_impl.o
    140	      0	      0	    140	     8c	gic_support.o
    108	      0	      0	    108	     6c	init_tecs.o
   2208	      0	      0	   2208	    8a0	interrupt.o
   3184	  80556	      0	  83740	  1471c	kernel_cfg.o
  65984	      0	      0	  65984	  101c0	kernel_mem.o
  66080	      0	      0	  66080	  10220	kernel_mem2.o
  65984	      0	      0	  65984	  101c0	kernel_mem3.o
   1055	      0	      0	   1055	    41f	log_output.o
    728	      0	      0	    728	    2d8	mem_manage.o
    792	      0	      0	    792	    318	memory.o
   3047	      0	      0	   3047	    be7	mempfix.o
   5744	      0	      0	   5744	   1670	messagebuf.o
    156	      0	      0	    156	     9c	mpcore_kernel_impl.o
    220	      0	      0	    220	     dc	mpcore_timer.o
   3728	      0	      0	   3728	    e90	mutex.o
    348	      0	      0	    348	    15c	pl310.o
    132	      0	      0	    132	     84	prb_str.o
   5195	      0	      0	   5195	   144b	pridataq.o
   2543	      0	      0	   2543	    9ef	semaphore.o
   1148	      0	      0	   1148	    47c	spin_lock.o
    188	      0	      0	    188	     bc	start.o
    912	      0	     12	    924	    39c	startup.o
    517	      0	      0	    517	    205	strerror.o
   1120	      0	      0	   1120	    460	svc_table.o
   4228	      0	      0	   4228	   1084	sys_manage.o
      0	      0	      0	      0	      0	tAlarmNotifier.o
      4	      0	      0	      4	      4	tAlarmNotifier_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	tAlarmNotifier_rKernelDomain_rProcessor2Symmetric_tecsgen.o
     12	      0	      0	     12	      c	tAlarmNotifier_tecsgen.o
    552	      0	      0	    552	    228	tBannerMain.o
     45	      0	      0	     45	     2d	tBannerMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
     40	      0	      0	     40	     28	tCpuExceptionHandler.o
      4	      0	      0	      4	      4	tCpuExceptionHandler_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	tCpuExceptionHandler_rKernelDomain_rProcessor2Symmetric_tecsgen.o
     12	      0	      0	     12	      c	tCpuExceptionHandler_tecsgen.o
      0	      0	      0	      0	      0	tCyclicNotifier.o
      4	      0	      0	      4	      4	tCyclicNotifier_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	tCyclicNotifier_rKernelDomain_rProcessor2Symmetric_tecsgen.o
     12	      0	      0	     12	      c	tCyclicNotifier_tecsgen.o
    876	      0	      0	    876	    36c	tHRPSVCBody_sSerialPort.o
     28	      0	      0	     28	     1c	tHRPSVCBody_sSerialPort_rKernelDomain_rProcessor1Migratable_tecsgen.o
    716	      0	      0	    716	    2cc	tHRPSVCBody_sSysLog.o
     24	      0	      0	     24	     18	tHRPSVCBody_sSysLog_rKernelDomain_rProcessor1Migratable_tecsgen.o
    340	      0	      0	    340	    154	tHRPSVCCaller_sSerialPort.o
     88	      0	      0	     88	     58	tHRPSVCCaller_sSerialPort_rOutOfDomain_tecsgen.o
    284	      0	      0	    284	    11c	tHRPSVCCaller_sSysLog.o
      8	      0	      0	      8	      8	tHRPSVCCaller_sSysLog_rOutOfDomain_tecsgen.o
     16	      0	      0	     16	     10	tISR.o
     16	      0	      0	     16	     10	tISR_rKernelDomain_rProcessor1Migratable_tecsgen.o
      8	      0	      0	      8	      8	tISR_rKernelDomain_rProcessor2Symmetric_tecsgen.o
     16	      0	      0	     16	     10	tISR_tecsgen.o
      4	      0	      0	      4	      4	tInitializeRoutine.o
      4	      0	      0	      4	      4	tInitializeRoutine_rKernelDomain_rProcessor1Migratable_tecsgen.o
      0	      0	      0	      0	      0	tInterruptRequest.o
      8	      0	      0	      8	      8	tInterruptRequest_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	tInterruptRequest_rKernelDomain_rProcessor2Symmetric_tecsgen.o
     16	      0	      0	     16	     10	tInterruptRequest_tecsgen.o
      4	      0	      0	      4	      4	tKernel_tecsgen.o
    597	      0	      0	    597	    255	tLogTaskMain.o
     44	      0	      0	     44	     2c	tLogTaskMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
    112	      0	      0	    112	     70	tPutLogZyboZ7.o
      4	      0	      0	      4	      4	tPutLogZyboZ7_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	tSIOPortZyboZ7Main_rKernelDomain_rProcessor1Migratable_tecsgen.o
   8442	      0	      4	   8446	   20fe	tSample2.o
    188	     24	      0	    212	     d4	tSample2_rOutOfDomain_rProcessor1Migratable_tecsgen.o
    188	     24	      0	    212	     d4	tSample2_rOutOfDomain_rProcessor2Symmetric_tecsgen.o
     60	      0	      0	     60	     3c	tSample2_tecsgen.o
     12	      0	      0	     12	      c	tSemaphore_rKernelDomain_rProcessor1Migratable_tecsgen.o
    624	      0	      0	    624	    270	tSerialAdapter.o
     16	      0	      0	     16	     10	tSerialAdapter_rOutOfDomain_rProcessor1Migratable_tecsgen.o
   2648	      0	      0	   2648	    a58	tSerialPortMain.o
     48	      0	      0	     48	     30	tSerialPortMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
    864	      0	      0	    864	    360	tSysLog.o
     84	      0	      0	     84	     54	tSysLogAdapter.o
