   text	   data	    bss	    dec	    hex	filename
   1752	      0	      0	   1752	    6d8	objs/alarm.o
   6708	    228	      4	   6940	   1b1c	objs/cfg1_out.o
      8	      0	      0	      8	      8	objs/chip_kernel_impl.o
   1845	      0	     16	   1861	    745	objs/core_kernel_impl.o
   2020	      0	      0	   2020	    7e4	objs/core_support.o
   1816	      0	      0	   1816	    718	objs/cyclic.o
   5323	      0	      0	   5323	   14cb	objs/dataqueue.o
   3553	      0	     16	   3569	    df1	objs/domain.o
   3699	      0	      0	   3699	    e73	objs/eventflag.o
    148	      0	      0	    148	     94	objs/exception.o
    967	      0	      0	    967	    3c7	objs/gic_kernel_impl.o
    120	      0	      0	    120	     78	objs/gic_support.o
     84	      0	      0	     84	     54	objs/init_tecs.o
   2228	      0	      0	   2228	    8b4	objs/interrupt.o
   2284	  47912	      8	  50204	   c41c	objs/kernel_cfg.o
  65896	      0	      0	  65896	  10168	objs/kernel_mem.o
  66020	      0	      0	  66020	  101e4	objs/kernel_mem2.o
  65896	      0	      0	  65896	  10168	objs/kernel_mem3.o
   1171	      0	      0	   1171	    493	objs/log_output.o
    736	      0	      0	    736	    2e0	objs/mem_manage.o
    608	      0	      0	    608	    260	objs/memory.o
   3035	      0	      0	   3035	    bdb	objs/mempfix.o
   5672	      0	      0	   5672	   1628	objs/messagebuf.o
    332	      0	      0	    332	    14c	objs/mpcore_kernel_impl.o
    216	      0	      0	    216	     d8	objs/mpcore_timer.o
   4020	      0	      0	   4020	    fb4	objs/mutex.o
    256	      0	      0	    256	    100	objs/pl310.o
    136	      0	      0	    136	     88	objs/prb_str.o
   5079	      0	      0	   5079	   13d7	objs/pridataq.o
   2531	      0	      0	   2531	    9e3	objs/semaphore.o
   1136	      0	      0	   1136	    470	objs/spin_lock.o
    192	      0	      0	    192	     c0	objs/start.o
   1070	      0	     12	   1082	    43a	objs/startup.o
    517	      0	      0	    517	    205	objs/strerror.o
   1120	      0	      0	   1120	    460	objs/svc_table.o
   4164	      0	      0	   4164	   1044	objs/sys_manage.o
    532	      0	      0	    532	    214	objs/tBannerMain.o
     45	      0	      0	     45	     2d	objs/tBannerMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
    388	      0	      0	    388	    184	objs/tHRPSVCBody_sTaskBody.o
     36	      0	      0	     36	     24	objs/tHRPSVCBody_sTaskBody_rKernelDomain_rProcessor1Migratable_tecsgen.o
     44	      0	      0	     44	     2c	objs/tHRPSVCCaller_sTaskBody.o
     24	      0	      0	     24	     18	objs/tHRPSVCCaller_sTaskBody_rUserDomain1_tecsgen.o
     24	      0	      0	     24	     18	objs/tHRPSVCCaller_sTaskBody_rUserDomain2_tecsgen.o
     32	      0	      0	     32	     20	objs/tHRPSVCCaller_sTaskBody_tecsgen.o
     12	      0	      0	     12	      c	objs/tISR.o
      8	      0	      0	      8	      8	objs/tISR_rKernelDomain_rProcessor1Only_tecsgen.o
      4	      0	      0	      4	      4	objs/tInitializeRoutine.o
      4	      0	      0	      4	      4	objs/tInitializeRoutine_rKernelDomain_rProcessor1Migratable_tecsgen.o
      0	      0	      0	      0	      0	objs/tInterruptRequest.o
      8	      0	      0	      8	      8	objs/tInterruptRequest_rKernelDomain_rProcessor1Only_tecsgen.o
      4	      0	      0	      4	      4	objs/tKernel_rKernelDomain_tecsgen.o
    589	      0	      0	    589	    24d	objs/tLogTaskMain.o
     44	      0	      0	     44	     2c	objs/tLogTaskMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
    116	      0	      0	    116	     74	objs/tPutLogZyboZ7.o
      4	      0	      0	      4	      4	objs/tPutLogZyboZ7_rKernelDomain_rProcessor1Only_tecsgen.o
      4	      0	      0	      4	      4	objs/tSIOPortZyboZ7Main_rKernelDomain_rProcessor1Only_tecsgen.o
     12	      0	      0	     12	      c	objs/tSemaphore_rKernelDomain_rProcessor1Migratable_tecsgen.o
    600	      0	      0	    600	    258	objs/tSerialAdapter.o
     16	      0	      0	     16	     10	objs/tSerialAdapter_rKernelDomain_rProcessor1Migratable_tecsgen.o
   3125	      8	      0	   3133	    c3d	objs/tSerialPortMain.o
    128	      0	    564	    692	    2b4	objs/tSerialPortMain_rKernelDomain_rProcessor1Migratable_tecsgen.o
   1392	      0	      0	   1392	    570	objs/tSysLog.o
     20	      0	      0	     20	     14	objs/tSysLogAdapter.o
      4	      0	      0	      4	      4	objs/tSysLogAdapter_rKernelDomain_rProcessor1Migratable_tecsgen.o
     72	      0	   1180	   1252	    4e4	objs/tSysLog_rKernelDomain_rProcessor1Migratable_tecsgen.o
     16	      0	      0	     16	     10	objs/tTask.o
     16	      0	      0	     16	     10	objs/tTask_rKernelDomain_rProcessor1Migratable_tecsgen.o
      8	      0	      0	      8	      8	objs/tTask_rUserDomain1_rProcessor1Only_tecsgen.o
      8	      0	      0	      8	      8	objs/tTask_rUserDomain1_rProcessor2Only_tecsgen.o
      8	      0	      0	      8	      8	objs/tTask_rUserDomain2_rProcessor1Only_tecsgen.o
      8	      0	      0	      8	      8	objs/tTask_rUserDomain2_rProcessor2Only_tecsgen.o
     28	      0	      0	     28	     1c	objs/tTask_tecsgen.o
     16	      0	      0	     16	     10	objs/tTerminateRoutine.o
      4	      0	      0	      4	      4	objs/tTerminateRoutine_rKernelDomain_rProcessor1Migratable_tecsgen.o
      4	      0	      0	      4	      4	objs/tTerminateRoutine_rKernelDomain_rProcessor1Only_tecsgen.o
     12	      0	      0	     12	      c	objs/tTerminateRoutine_tecsgen.o
   1884	      0	      0	   1884	    75c	objs/tTestSample.o
    124	      0	      0	    124	     7c	objs/tTestSample_rKernelDomain_rProcessor1Migratable_tecsgen.o
    500	      0	      0	    500	    1f4	objs/tXUartPs.o
